,query,duplicates
125,doc_7553,"['doc_7553', 'doc_6069']"
126,doc_7557,"['doc_7557', 'doc_7978']"
127,doc_7656,"['doc_7656', 'doc_5841']"
128,doc_7857,"['doc_7857', 'doc_3176']"
129,doc_7906,"['doc_5851', 'doc_7906']"
130,doc_7974,"['doc_7974', 'doc_9863']"
131,doc_7978,"['doc_7557', 'doc_7978']"
132,doc_8069,"['doc_8069', 'doc_104']"
133,doc_8078,"['doc_8078', 'doc_8936']"
134,doc_8103,"['doc_7044', 'doc_8103']"
135,doc_8320,"['doc_944', 'doc_8320']"
136,doc_8335,"['doc_8335', 'doc_4257']"
137,doc_8386,"['doc_123', 'doc_8386']"
138,doc_8458,"['doc_5652', 'doc_8458']"
139,doc_8581,"['doc_8581', 'doc_8697']"
140,doc_8697,"['doc_8581', 'doc_8697']"
141,doc_8768,"['doc_5138', 'doc_8768']"
142,doc_8856,"['doc_8856', 'doc_5344']"
143,doc_8863,"['doc_8863', 'doc_1646']"
144,doc_8866,"['doc_6271', 'doc_8866']"
145,doc_8876,"['doc_36', 'doc_8876']"
146,doc_8883,"['doc_8883', 'doc_2411']"
147,doc_8919,"['doc_8919', 'doc_6075']"
148,doc_8936,"['doc_8078', 'doc_8936']"
149,doc_8985,"['doc_8985', 'doc_7313']"
150,doc_9057,"['doc_9057', 'doc_1301']"
151,doc_9155,"['doc_889', 'doc_9155']"
152,doc_9297,"['doc_7282', 'doc_9297']"
153,doc_9333,"['doc_9333', 'doc_2886']"
154,doc_9428,"['doc_6906', 'doc_9428']"
155,doc_9504,"['doc_6412', 'doc_9504']"
156,doc_9615,"['doc_7330', 'doc_9615']"
157,doc_9679,"['doc_9679', 'doc_3384']"
158,doc_9702,"['doc_5907', 'doc_9702']"
159,doc_9710,"['doc_9710', 'doc_7480']"
160,doc_9790,"['doc_9790', 'doc_5338']"
161,doc_9821,"['doc_9821', 'doc_4374']"
162,doc_9863,"['doc_7974', 'doc_9863']"
163,doc_9979,"['doc_2138', 'doc_9979']"
